"","X","Linf","K","t_anchor","C","ts","phiL","MA","BS"
"1",1,67.8901400314507,0.141174393379722,0.533580559736489,0.434797842930695,0.351912085989599,2.81336933918646,5,2
"2",2,93.8472793400288,0.1180709451437,0.411376401782036,0.20121830701828,0.501514106988907,3.01698641336128,5,2
"3",3,59.0396460592747,0.232578068971634,0.615861728787422,0.621900364756584,0.820808485150337,2.90885625086022,5,2
"4",4,62.5159361064434,0.203360736370087,0.475912436842918,0.351832777261734,0.596345335245132,2.90024858307175,5,2
"5",5,81.4127305664551,0.0603047458867865,0.609242500722201,0.592228247517485,0.489039613270977,2.6017361340358,5,2
"6",6,66.5039706200667,0.177875719724123,0.216515783989636,0.416257702204133,0.69540129598269,2.89581182161151,5,2
"7",7,67.223745654905,0.147335506607987,0.663619924724125,0.474019723095809,0.485348431515557,2.82335283546195,5,2
"8",8,78.6397364288568,0.154627084732056,0.367610916495323,0.576023533940315,0.4154212474823,2.98056966644038,5,2
"9",9,88.7796697169542,0.0656908452510834,0.699105322360992,0.207394286990166,0.788123279809952,2.71413190002886,5,2
"10",10,76.9516742229462,0.138905540108681,0.164459228515625,0.27372233569622,0.501017555594444,2.91515571375006,5,2
"11",11,70.6515985876322,0.101911872625351,0.443643480539322,0.322902962565422,0.628114819526672,2.70646876738885,5,2
"12",12,70.5567967015105,0.174696841023983,0.419388120036051,0.487190022733414,0.4848793241502,2.93936276283176,5,2
"13",13,77.9709365218878,0.0824748277664185,0.203940093517303,0.409485310316086,0.373783588409424,2.70018691854432,5,2
"14",14,68.2035628557205,0.173689171671867,0.280149459838867,0.317038834095001,0.740411087870598,2.9073868683423,5,2
"15",15,64.8049574047327,0.193721428513527,0.443129003047943,0.343867629766464,0.554882258176804,2.91039412189958,5,2
"16",16,63.428140565753,0.209662929177284,0.480680793523788,0.598125040531158,0.372535794973373,2.92608560894056,5,2
"17",17,69.8245331003663,0.134725360604927,0.541071858857801,0.572852188236187,0.329098220731376,2.81746543542191,5,2
"18",18,74.2703072577715,0.150221660733223,0.228822067379951,0.807856723666191,0.367271155118942,2.91836300009978,5,2
"19",19,85.1207333803177,0.10906682908535,0.626155540347099,0.868576213717461,0.326749175786972,2.89776340051038,5,2
"20",20,78.867998868227,0.14370159804821,0.320392429828644,0.593202993273735,0.40265765786171,2.95126324084622,5,2
"21",21,94.4486848836834,0.0462102190859813,0.313026750298065,0.892938029670657,0.672693118088662,2.61512985779425,5,2
"22",22,65.0111521035433,0.158158108592033,0.572216525673866,0.28770849108696,0.363073229789734,2.82506718764935,5,2
"23",23,62.4124635777447,0.219525725206758,0.558039372750369,0.372987926246795,0.388758557730273,2.9320280717677,5,2
"24",24,65.1165288449242,0.191643517228261,0.340869182891496,0.529070257110449,0.337641407221397,2.90987661613495,5,2
"25",25,71.7999269962311,0.146727114915848,0.898388341069221,0.316425070166588,0.685778573155403,2.87875838345817,5,2
"26",26,61.995014493797,0.195639594075009,0.353352346266551,0.526720440151575,0.468788966209667,2.87617028479141,5,2
"27",27,76.552964553237,0.111567586660385,0.55952824652195,0.709113627672195,0.647104904055595,2.81546206615175,5,2
"28",28,68.5738468170166,0.185876816511154,0.352171003818512,0.608973115682602,0.362861484289169,2.94154225167531,5,2
"29",29,83.0714193888822,0.128051533403402,0.157431745987129,0.693546281018982,0.344758792961542,2.94628804555387,5,2
"30",30,59.5737706422806,0.208531424403191,0.363453567028046,0.581788644194603,0.612115547060966,2.86928168786537,5,2
"31",31,68.1553634703159,0.168252989649773,0.201520562171936,0.238835364580154,0.634248211979866,2.89296286628166,5,2
"32",32,79.9638972580433,0.147497668862343,0.584743142127991,0.478272169828415,0.647593110799789,2.97457306149924,5,2
"33",33,60.5367485368327,0.194017086366256,0.21848842023256,0.710243910831833,0.639453675652303,2.85187816040812,5,2
"34",34,69.0693038215489,0.105524108246231,0.649029266714982,0.529056488198925,0.420840270183285,2.70192184792902,5,2
"35",35,69.3551384955645,0.16560785472393,0.264159962534904,0.471296787261963,0.440812692046165,2.90123821800146,5,2
"36",36,76.1794027835131,0.131923958659172,0.823301047086716,0.359648957848549,0.609580934047699,2.88399880204377,5,2
"37",37,68.5684208134262,0.175587382145563,0.447721936927335,0.436453945224491,0.584073575642618,2.91674159878076,5,2
"38",38,75.1481832563877,0.100468769669533,0.0955463647842407,0.5423284471035,0.775100976228714,2.75386805550758,5,2
"39",39,69.6994541148555,0.177497364669116,0.622063210387026,0.990319839445874,0.813875900309103,2.9356506628476,5,2
"40",40,72.6019908502304,0.161496069314261,0.372705554471686,0.46420341230928,0.883283009306197,2.93005901608994,5,2
"41",41,71.8244451835477,0.102302131858933,0.688228004941287,0.592520768950644,0.371371640334797,2.72242924384001,5,2
