Phi_p,K,Linf_OK
2.218758109,0.17,31.2
2.282868929,0.17,33.59
2.533714344,0.25,36.97321088
2.549146951,0.253,37.41219718
2.760278572,0.395,38.18042322
2.659390733,0.28,40.37535474
2.641257546,0.26,41.03383419
2.811857282,0.28,48.12266
2.488555114,0.15,45.31395066
2.527038908,0.16,45.86268354
2.879369171,0.35,46.52116299
2.73412361,0.247,46.85040272
2.851333221,0.29,49.48432054
2.457289437,0.113,50.36229315
2.815300414,0.25,51.13051918
2.780950583,0.23,51.24026576
2.753349268,0.214,51.45975891
2.837908842,0.26,51.45975891
2.473268925,0.105,53.21570413
2.774343409,0.2,54.53266304
2.525044807,0.134,50
2.770194736,0.231,50.5
2.451583054,0.076,61.00771102
2.857332496,0.2,60
2.86166462,0.2,60.3
3.041005122,0.27,63.8
3.042489196,0.22,70.8
3.003546693,0.2,71
