Port_of_disembarqm,Date,Year,Month,Fishing_ground,Fishing_gear,Species,Total_Length_cm
Prado,16-01-2007,2007,1,Leste de Prado,Hand_line,L_synagris,43
Prado,16-01-2007,2007,1,Leste de Prado,Hand_line,L_synagris,23
Prado,16-01-2007,2007,1,Leste de Prado,Hand_line,L_synagris,21
Prado,16-01-2007,2007,1,Leste de Prado,Hand_line,L_synagris,25
Prado,16-01-2007,2007,1,Leste de Prado,Hand_line,L_synagris,30
Prado,17-01-2007,2007,1,Leste de Prado,Hand_line,L_synagris,33
Prado,17-01-2007,2007,1,Leste de Prado,Hand_line,L_synagris,45
Prado,17-01-2007,2007,1,Leste de Prado,Hand_line,L_synagris,30
Prado,17-01-2007,2007,1,Leste de Prado,Hand_line,L_synagris,26
Prado,17-01-2007,2007,1,Leste de Prado,Hand_line,L_synagris,42
Prado,17-01-2007,2007,1,Leste de Prado,Hand_line,L_synagris,31
Prado,22-01-2007,2007,1,,Hand_line,L_synagris,26
Prado,22-01-2007,2007,1,,Hand_line,L_synagris,30
Prado,22-01-2007,2007,1,,Hand_line,L_synagris,16
Prado,22-01-2007,2007,1,,Hand_line,L_synagris,37
Prado,02-02-2007,2007,2,Abrolhos,Hand_line,L_synagris,22.5
Prado,02-02-2007,2007,2,Abrolhos,Hand_line,L_synagris,21
Prado,02-02-2007,2007,2,Abrolhos,Hand_line,L_synagris,20
Prado,02-02-2007,2007,2,Abrolhos,Hand_line,L_synagris,32.5
Prado,02-02-2007,2007,2,Abrolhos,Hand_line,L_synagris,30
Prado,02-02-2007,2007,2,Abrolhos,Hand_line,L_synagris,19.5
Prado,02-02-2007,2007,2,Abrolhos,Hand_line,L_synagris,19
Prado,02-02-2007,2007,2,Abrolhos,Hand_line,L_synagris,18
Prado,02-02-2007,2007,2,Abrolhos,Hand_line,L_synagris,17.5
Prado,02-02-2007,2007,2,Abrolhos,Hand_line,L_synagris,25
Prado,02-02-2007,2007,2,Abrolhos,Hand_line,L_synagris,23.5
Prado,02-02-2007,2007,2,Abrolhos,Hand_line,L_synagris,24
Prado,02-02-2007,2007,2,Abrolhos,Hand_line,L_synagris,19.5
Prado,02-02-2007,2007,2,Abrolhos,Hand_line,L_synagris,35
Prado,02-02-2007,2007,2,Abrolhos,Hand_line,L_synagris,30
Prado,06-02-2007,2007,2,Belmonte,Hand_line,L_synagris,27
Prado,06-02-2007,2007,2,Belmonte,Hand_line,L_synagris,29
Prado,06-02-2007,2007,2,Belmonte,Hand_line,L_synagris,34.5
Prado,06-02-2007,2007,2,Belmonte,Hand_line,L_synagris,35.5
Prado,06-02-2007,2007,2,Belmonte,Hand_line,L_synagris,29
Prado,06-02-2007,2007,2,Belmonte,Hand_line,L_synagris,28
Prado,06-02-2007,2007,2,Belmonte,Hand_line,L_synagris,31
Prado,06-02-2007,2007,2,Belmonte,Hand_line,L_synagris,39
Prado,06-02-2007,2007,2,Belmonte,Hand_line,L_synagris,17
Prado,06-02-2007,2007,2,Belmonte,Hand_line,L_synagris,19
Prado,06-02-2007,2007,2,Belmonte,Hand_line,L_synagris,25
Prado,06-02-2007,2007,2,Belmonte,Hand_line,L_synagris,28
Prado,06-02-2007,2007,2,Belmonte,Hand_line,L_synagris,32
Prado,06-02-2007,2007,2,Belmonte,Hand_line,L_synagris,22
Prado,06-02-2007,2007,2,Belmonte,Hand_line,L_synagris,29.5
Prado,06-02-2007,2007,2,Belmonte,Hand_line,L_synagris,42.5
Prado,06-02-2007,2007,2,Belmonte,Hand_line,L_synagris,19
Prado,06-02-2007,2007,2,Belmonte,Hand_line,L_synagris,46
Prado,06-02-2007,2007,2,Belmonte,Hand_line,L_synagris,44
Prado,06-02-2007,2007,2,Sueste da Ilha,Hand_line,L_synagris,31.5
Prado,06-02-2007,2007,2,Sueste da Ilha,Hand_line,L_synagris,27
Prado,06-02-2007,2007,2,Sueste da Ilha,Hand_line,L_synagris,25
Prado,06-02-2007,2007,2,Sueste da Ilha,Hand_line,L_synagris,22
Prado,06-02-2007,2007,2,Sueste da Ilha,Hand_line,L_synagris,19
Prado,06-02-2007,2007,2,Sueste da Ilha,Hand_line,L_synagris,17
Prado,07-02-2007,2007,2,Beira do Barranco,Hand_line,L_synagris,17
Prado,07-02-2007,2007,2,Beira do Barranco,Hand_line,L_synagris,22
Prado,07-02-2007,2007,2,Beira do Barranco,Hand_line,L_synagris,31
Prado,07-02-2007,2007,2,Beira do Barranco,Hand_line,L_synagris,33
Prado,07-02-2007,2007,2,Beira do Barranco,Hand_line,L_synagris,20
Prado,07-02-2007,2007,2,Beira do Barranco,Hand_line,L_synagris,18
Prado,07-02-2007,2007,2,Beira do Barranco,Hand_line,L_synagris,15
Prado,07-02-2007,2007,2,Beira do Barranco,Hand_line,L_synagris,25
